Local time,Open,High,Low,Close,Volume
06.05.2024 09:30:00.000 GMT+0530,1.07649,1.07656,1.07625,1.07630,2330.3301
06.05.2024 10:30:00.000 GMT+0530,1.07630,1.07651,1.07600,1.07610,2234.51
06.05.2024 11:30:00.000 GMT+0530,1.07611,1.07655,1.07595,1.07626,4241.2798
06.05.2024 12:30:00.000 GMT+0530,1.07626,1.07696,1.07604,1.07617,5228.6699
06.05.2024 13:30:00.000 GMT+0530,1.07617,1.07763,1.07577,1.07687,6804.27
06.05.2024 14:30:00.000 GMT+0530,1.07688,1.07723,1.07663,1.07697,5081.75
06.05.2024 15:30:00.000 GMT+0530,1.07698,1.07732,1.07664,1.07722,5266.4199
06.05.2024 16:30:00.000 GMT+0530,1.07721,1.07744,1.07691,1.07727,3472.3501
06.05.2024 17:30:00.000 GMT+0530,1.07726,1.07909,1.07723,1.07875,6377.7998
06.05.2024 18:30:00.000 GMT+0530,1.07877,1.07890,1.07813,1.07866,5907.5498
06.05.2024 19:30:00.000 GMT+0530,1.07867,1.07870,1.07787,1.07803,4953.3398
06.05.2024 20:30:00.000 GMT+0530,1.07803,1.07803,1.07746,1.07789,4120.1602
06.05.2024 21:30:00.000 GMT+0530,1.07788,1.07789,1.07714,1.07744,3173.74
06.05.2024 22:30:00.000 GMT+0530,1.07743,1.07767,1.07733,1.07743,3133.6201
06.05.2024 23:30:00.000 GMT+0530,1.07742,1.07754,1.07722,1.07748,2772.4299
07.05.2024 00:30:00.000 GMT+0530,1.07748,1.07749,1.07667,1.07675,2898.8601
07.05.2024 01:30:00.000 GMT+0530,1.07677,1.07710,1.07663,1.07710,1282.4
